id,virus,host,interaction,strain,localization,tissue_expression
44546,S,ARF3,Interolog,B.1.525,None,Brain - Frontal Cortex (BA9)
44745,E,HLA-G,Interolog,B.1.525,None,Pituitary
45051,M,MARK3,Interolog,B.1.525,None,Brain - Cerebellar Hemisphere
46422,ORF3a,MARK3,Interolog,B.1.525,None,Brain - Cerebellar Hemisphere
46975,ORF7b,MARK3,Interolog,B.1.525,None,Brain - Cerebellar Hemisphere
47786,M,HLA-G,Interolog,B.1.525,None,Pituitary
48699,nsp14,MARK3,Interolog,B.1.525,None,Brain - Cerebellar Hemisphere
48796,N,HLA-G,Interolog,B.1.525,None,Pituitary
48816,nsp12,MARK3,Interolog,B.1.525,None,Brain - Cerebellar Hemisphere
49479,N,HLA-G,Domain,B.1.525,None,Pituitary
50203,S,HLA-G,Domain,B.1.525,None,Pituitary
50473,nsp12,ARF3,Interolog,B.1.526,None,Brain - Frontal Cortex (BA9)
50635,S,ACE2,Interolog,B.1.526,None,Testis
50642,ORF9b,MARK3,Interolog,B.1.526,None,Brain - Cerebellar Hemisphere
50668,nsp12,MARK3,Interolog,B.1.526,None,Brain - Cerebellar Hemisphere
51404,nsp12,HLA-G,Interolog,B.1.526,None,Pituitary
51667,ORF3a,HLA-G,Interolog,B.1.526,None,Pituitary
51920,ORF7b,HLA-G,Interolog,B.1.526,None,Pituitary
52570,E,ARF3,Interolog,B.1.526,None,Brain - Frontal Cortex (BA9)
53160,M,ARF3,Interolog,B.1.526,None,Brain - Frontal Cortex (BA9)
54894,ORF3a,ARF3,Interolog,B.1.526,None,Brain - Frontal Cortex (BA9)
55253,ORF6,ARF3,Interolog,B.1.526,None,Brain - Frontal Cortex (BA9)
55692,ORF7a,HLA-G,Interolog,B.1.526,None,Pituitary
55712,ORF7a,ARF3,Interolog,B.1.526,None,Brain - Frontal Cortex (BA9)
56322,ORF7b,ARF3,Interolog,B.1.526,None,Brain - Frontal Cortex (BA9)
56801,ORF8,HLA-G,Interolog,B.1.526,None,Pituitary
56819,ORF8,ARF3,Interolog,B.1.526,None,Brain - Frontal Cortex (BA9)
57116,S,HLA-G,Interolog,B.1.526,None,Pituitary
57124,S,ARF3,Interolog,B.1.526,None,Brain - Frontal Cortex (BA9)
57329,E,HLA-G,Interolog,B.1.526,None,Pituitary
57635,M,MARK3,Interolog,B.1.526,None,Brain - Cerebellar Hemisphere
58995,ORF3a,MARK3,Interolog,B.1.526,None,Brain - Cerebellar Hemisphere
59548,ORF7b,MARK3,Interolog,B.1.526,None,Brain - Cerebellar Hemisphere
59918,S,MARK3,Interolog,B.1.526,None,Brain - Cerebellar Hemisphere
60360,M,HLA-G,Interolog,B.1.526,None,Pituitary
61156,nsp14,MARK3,Interolog,B.1.526,None,Brain - Cerebellar Hemisphere
61253,N,HLA-G,Interolog,B.1.526,None,Pituitary
61832,N,HLA-G,Domain,B.1.526,None,Pituitary
62576,S,HLA-G,Domain,B.1.526,None,Pituitary
62847,nsp12,ARF3,Interolog,B.1.617,None,Brain - Frontal Cortex (BA9)
63009,S,ACE2,Interolog,B.1.617,None,Testis
63016,ORF9b,MARK3,Interolog,B.1.617,None,Brain - Cerebellar Hemisphere
63043,S,MARK3,Interolog,B.1.617,None,Brain - Cerebellar Hemisphere
63792,nsp12,HLA-G,Interolog,B.1.617,None,Pituitary
64064,ORF3a,HLA-G,Interolog,B.1.617,None,Pituitary
64317,ORF7b,HLA-G,Interolog,B.1.617,None,Pituitary
64789,S,HLA-G,Interolog,B.1.617,None,Pituitary
64993,E,ARF3,Interolog,B.1.617,None,Brain - Frontal Cortex (BA9)
65583,M,ARF3,Interolog,B.1.617,None,Brain - Frontal Cortex (BA9)
67330,ORF3a,ARF3,Interolog,B.1.617,None,Brain - Frontal Cortex (BA9)
67689,ORF6,ARF3,Interolog,B.1.617,None,Brain - Frontal Cortex (BA9)
68128,ORF7a,HLA-G,Interolog,B.1.617,None,Pituitary
68148,ORF7a,ARF3,Interolog,B.1.617,None,Brain - Frontal Cortex (BA9)
68758,ORF7b,ARF3,Interolog,B.1.617,None,Brain - Frontal Cortex (BA9)
69237,ORF8,HLA-G,Interolog,B.1.617,None,Pituitary
69255,ORF8,ARF3,Interolog,B.1.617,None,Brain - Frontal Cortex (BA9)
69556,S,ARF3,Interolog,B.1.617,None,Brain - Frontal Cortex (BA9)
69755,E,HLA-G,Interolog,B.1.617,None,Pituitary
70061,M,MARK3,Interolog,B.1.617,None,Brain - Cerebellar Hemisphere
71432,ORF3a,MARK3,Interolog,B.1.617,None,Brain - Cerebellar Hemisphere
71985,ORF7b,MARK3,Interolog,B.1.617,None,Brain - Cerebellar Hemisphere
72796,M,HLA-G,Interolog,B.1.617,None,Pituitary
73709,nsp13,MARK3,Interolog,B.1.617,None,Brain - Cerebellar Hemisphere
73806,N,HLA-G,Interolog,B.1.617,None,Pituitary
73826,nsp12,MARK3,Interolog,B.1.617,None,Brain - Cerebellar Hemisphere
74485,N,HLA-G,Domain,B.1.617,None,Pituitary
75210,S,HLA-G,Domain,B.1.617,None,Pituitary
75480,nsp12,ARF3,Interolog,B.1.617.2,None,Brain - Frontal Cortex (BA9)
75642,S,ACE2,Interolog,B.1.617.2,None,Testis
75649,ORF9b,MARK3,Interolog,B.1.617.2,None,Brain - Cerebellar Hemisphere
75676,S,MARK3,Interolog,B.1.617.2,None,Brain - Cerebellar Hemisphere
76425,nsp12,HLA-G,Interolog,B.1.617.2,None,Pituitary
76697,ORF3a,HLA-G,Interolog,B.1.617.2,None,Pituitary
76950,ORF7b,HLA-G,Interolog,B.1.617.2,None,Pituitary
77422,S,HLA-G,Interolog,B.1.617.2,None,Pituitary
77626,E,ARF3,Interolog,B.1.617.2,None,Brain - Frontal Cortex (BA9)
78216,M,ARF3,Interolog,B.1.617.2,None,Brain - Frontal Cortex (BA9)
79963,ORF3a,ARF3,Interolog,B.1.617.2,None,Brain - Frontal Cortex (BA9)
80322,ORF6,ARF3,Interolog,B.1.617.2,None,Brain - Frontal Cortex (BA9)
80761,ORF7a,HLA-G,Interolog,B.1.617.2,None,Pituitary
80781,ORF7a,ARF3,Interolog,B.1.617.2,None,Brain - Frontal Cortex (BA9)
81391,ORF7b,ARF3,Interolog,B.1.617.2,None,Brain - Frontal Cortex (BA9)
81870,ORF8,HLA-G,Interolog,B.1.617.2,None,Pituitary
81888,ORF8,ARF3,Interolog,B.1.617.2,None,Brain - Frontal Cortex (BA9)
82189,S,ARF3,Interolog,B.1.617.2,None,Brain - Frontal Cortex (BA9)
82388,E,HLA-G,Interolog,B.1.617.2,None,Pituitary
82694,M,MARK3,Interolog,B.1.617.2,None,Brain - Cerebellar Hemisphere
84065,ORF3a,MARK3,Interolog,B.1.617.2,None,Brain - Cerebellar Hemisphere
84618,ORF7b,MARK3,Interolog,B.1.617.2,None,Brain - Cerebellar Hemisphere
85429,M,HLA-G,Interolog,B.1.617.2,None,Pituitary
86342,nsp13,MARK3,Interolog,B.1.617.2,None,Brain - Cerebellar Hemisphere
86439,N,HLA-G,Interolog,B.1.617.2,None,Pituitary
86459,nsp12,MARK3,Interolog,B.1.617.2,None,Brain - Cerebellar Hemisphere
87118,N,HLA-G,Domain,B.1.617.2,None,Pituitary
87824,S,HLA-G,Domain,B.1.617.2,None,Pituitary
88082,nsp12,ARF3,Interolog,B.1.617.3,None,Brain - Frontal Cortex (BA9)
88244,S,ACE2,Interolog,B.1.617.3,None,Testis
88251,ORF9b,MARK3,Interolog,B.1.617.3,None,Brain - Cerebellar Hemisphere
88277,nsp12,MARK3,Interolog,B.1.617.3,None,Brain - Cerebellar Hemisphere
89007,nsp12,HLA-G,Interolog,B.1.617.3,None,Pituitary
89270,ORF3a,HLA-G,Interolog,B.1.617.3,None,Pituitary
89523,ORF7b,HLA-G,Interolog,B.1.617.3,None,Pituitary
90173,E,ARF3,Interolog,B.1.617.3,None,Brain - Frontal Cortex (BA9)
90763,M,ARF3,Interolog,B.1.617.3,None,Brain - Frontal Cortex (BA9)
92497,ORF3a,ARF3,Interolog,B.1.617.3,None,Brain - Frontal Cortex (BA9)
92856,ORF6,ARF3,Interolog,B.1.617.3,None,Brain - Frontal Cortex (BA9)
93295,ORF7a,HLA-G,Interolog,B.1.617.3,None,Pituitary
93315,ORF7a,ARF3,Interolog,B.1.617.3,None,Brain - Frontal Cortex (BA9)
93925,ORF7b,ARF3,Interolog,B.1.617.3,None,Brain - Frontal Cortex (BA9)
94404,ORF8,HLA-G,Interolog,B.1.617.3,None,Pituitary
94422,ORF8,ARF3,Interolog,B.1.617.3,None,Brain - Frontal Cortex (BA9)
94719,S,HLA-G,Interolog,B.1.617.3,None,Pituitary
94727,S,ARF3,Interolog,B.1.617.3,None,Brain - Frontal Cortex (BA9)
94932,E,HLA-G,Interolog,B.1.617.3,None,Pituitary
95238,M,MARK3,Interolog,B.1.617.3,None,Brain - Cerebellar Hemisphere
96598,ORF3a,MARK3,Interolog,B.1.617.3,None,Brain - Cerebellar Hemisphere
97151,ORF7b,MARK3,Interolog,B.1.617.3,None,Brain - Cerebellar Hemisphere
97521,S,MARK3,Interolog,B.1.617.3,None,Brain - Cerebellar Hemisphere
97964,M,HLA-G,Interolog,B.1.617.3,None,Pituitary
98760,nsp14,MARK3,Interolog,B.1.617.3,None,Brain - Cerebellar Hemisphere
98855,N,HLA-G,Interolog,B.1.617.3,None,Pituitary
99425,N,HLA-G,Domain,B.1.617.3,None,Pituitary
100303,nsp12,ARF3,Interolog,B.1.621,None,Brain - Frontal Cortex (BA9)
100465,S,ACE2,Interolog,B.1.621,None,Testis
100472,ORF9b,MARK3,Interolog,B.1.621,None,Brain - Cerebellar Hemisphere
100499,S,MARK3,Interolog,B.1.621,None,Brain - Cerebellar Hemisphere
101248,nsp12,HLA-G,Interolog,B.1.621,None,Pituitary
101520,ORF3a,HLA-G,Interolog,B.1.621,None,Pituitary
101773,ORF7b,HLA-G,Interolog,B.1.621,None,Pituitary
102245,S,HLA-G,Interolog,B.1.621,None,Pituitary
102449,E,ARF3,Interolog,B.1.621,None,Brain - Frontal Cortex (BA9)
103039,M,ARF3,Interolog,B.1.621,None,Brain - Frontal Cortex (BA9)
104786,ORF3a,ARF3,Interolog,B.1.621,None,Brain - Frontal Cortex (BA9)
105145,ORF6,ARF3,Interolog,B.1.621,None,Brain - Frontal Cortex (BA9)
105584,ORF7a,HLA-G,Interolog,B.1.621,None,Pituitary
105604,ORF7a,ARF3,Interolog,B.1.621,None,Brain - Frontal Cortex (BA9)
106214,ORF7b,ARF3,Interolog,B.1.621,None,Brain - Frontal Cortex (BA9)
106693,ORF8,HLA-G,Interolog,B.1.621,None,Pituitary
106711,ORF8,ARF3,Interolog,B.1.621,None,Brain - Frontal Cortex (BA9)
107012,S,ARF3,Interolog,B.1.621,None,Brain - Frontal Cortex (BA9)
107211,E,HLA-G,Interolog,B.1.621,None,Pituitary
107517,M,MARK3,Interolog,B.1.621,None,Brain - Cerebellar Hemisphere
108888,ORF3a,MARK3,Interolog,B.1.621,None,Brain - Cerebellar Hemisphere
109441,ORF7b,MARK3,Interolog,B.1.621,None,Brain - Cerebellar Hemisphere
110252,M,HLA-G,Interolog,B.1.621,None,Pituitary
111165,nsp14,MARK3,Interolog,B.1.621,None,Brain - Cerebellar Hemisphere
111262,N,HLA-G,Interolog,B.1.621,None,Pituitary
111282,nsp12,MARK3,Interolog,B.1.621,None,Brain - Cerebellar Hemisphere
111942,N,HLA-G,Domain,B.1.621,None,Pituitary
112668,S,HLA-G,Domain,B.1.621,None,Pituitary
112927,nsp12,ARF3,Interolog,P.1,None,Brain - Frontal Cortex (BA9)
113089,S,ACE2,Interolog,P.1,None,Testis
113096,ORF9b,MARK3,Interolog,P.1,None,Brain - Cerebellar Hemisphere
